cluster,intent,target_keywords,target_path,canonical_path,priority,status
Navette AIBD,Transactionnel,navette aeroport dakar; transfert aibd dakar; navette aibd,/navette-aeroport-aibd,/services/transfert-aeroport-aibd,P1,mapped-via-redirect
Chauffeur prive Dakar,Transactionnel,chauffeur prive dakar; chauffeur senegal; transport prive dakar,/chauffeur-prive-dakar,/services/chauffeur-prive-dakar,P1,mapped-via-redirect
AIBD -> Dakar,Transactionnel route,transfert aibd dakar; taxi aeroport dakar prix; transport aibd centre ville,/trajet/aibd-vers-dakar,/routes/aibd-dakar,P1,mapped-via-redirect
AIBD -> Saly,Transactionnel route,transfert aibd saly; navette aeroport saly,/trajet/aibd-vers-saly,/routes/aibd-saly,P1,mapped-via-redirect
AIBD -> Ngaparou,Transactionnel route,transfert aibd ngaparou; chauffeur aeroport ngaparou,/trajet/aibd-vers-ngaparou,/routes/aibd-ngaparou,P1,mapped-via-redirect
AIBD -> Nianing,Transactionnel route,transfert aibd nianing; navette nianing aeroport,/trajet/aibd-vers-nianing,/routes/aibd-nianing,P1,mapped-via-redirect
Dakar -> AIBD retour,Transactionnel route,transfert dakar aibd; navette dakar aeroport,/trajet/dakar-vers-aibd,/routes/dakar-aibd,P1,mapped-via-redirect
Prix et reservation,Commercial,prix transfert aibd; tarif chauffeur prive dakar,/tarifs-transferts-aibd,/services/transfert-aeroport-aibd,P2,mapped-via-redirect
Business travel,Transactionnel use-case,transport affaires dakar; chauffeur entreprise dakar,/service/transfert-business-dakar,/services/chauffeur-affaires-dakar,P2,mapped-via-redirect
Famille/VIP,Transactionnel use-case,transfert famille aibd; transfert vip dakar,/service/transfert-famille-vip,/services/transfert-famille-vip-dakar,P2,mapped-via-redirect
Comparatif,Commercial,taxi vs transfert prive dakar; meilleur transfert aibd,/guide/taxi-vs-transfert-prive-dakar,/faq,P3,mapped-via-redirect
EN travelers,Transactionnel international,airport transfer dakar; private driver senegal; aibd transfer,/en/airport-transfer-dakar-aibd,/en,P2,mapped-via-redirect
